20190218 19:57:56.104460 4 2 240 101 Max number of tickers has been reached 
20190218 19:57:56.105230 4 2 211 101 Max number of tickers has been reached 
20190218 19:57:56.105875 4 2 228 101 Max number of tickers has been reached 
20190218 19:57:56.106611 4 2 106 101 Max number of tickers has been reached 
20190218 19:57:56.107249 4 2 123 101 Max number of tickers has been reached 
20190218 19:57:56.107952 4 2 193 101 Max number of tickers has been reached 
20190218 19:57:56.108628 4 2 222 101 Max number of tickers has been reached 
20190218 19:57:56.109311 4 2 181 101 Max number of tickers has been reached 
20190218 19:57:56.110114 4 2 132 101 Max number of tickers has been reached 
20190218 19:57:56.110812 4 2 195 101 Max number of tickers has been reached 
20190218 19:57:56.111469 4 2 176 101 Max number of tickers has been reached 
20190218 19:57:56.112132 4 2 166 101 Max number of tickers has been reached 
20190218 19:57:56.112867 4 2 202 101 Max number of tickers has been reached 
20190218 19:57:56.113552 4 2 232 101 Max number of tickers has been reached 
20190218 19:57:56.114280 4 2 248 101 Max number of tickers has been reached 
20190218 19:57:56.115132 4 2 121 101 Max number of tickers has been reached 
20190218 19:57:56.115829 4 2 131 101 Max number of tickers has been reached 
20190218 19:57:56.116499 4 2 206 101 Max number of tickers has been reached 
20190218 19:57:56.117191 4 2 116 101 Max number of tickers has been reached 
20190218 19:57:56.117888 4 2 239 101 Max number of tickers has been reached 
20190218 19:57:56.118695 4 2 280 101 Max number of tickers has been reached 
20190218 19:57:56.119522 4 2 217 101 Max number of tickers has been reached 
20190218 19:57:56.120206 4 2 127 101 Max number of tickers has been reached 
20190218 19:57:56.120913 4 2 133 101 Max number of tickers has been reached 
20190218 19:57:56.121721 4 2 129 101 Max number of tickers has been reached 
20190218 19:57:56.122448 4 2 159 101 Max number of tickers has been reached 
20190218 19:57:56.123267 4 2 241 101 Max number of tickers has been reached 
20190218 19:57:56.124077 4 2 164 101 Max number of tickers has been reached 
20190218 19:57:56.124953 4 2 183 101 Max number of tickers has been reached 
20190218 19:57:56.125694 4 2 201 101 Max number of tickers has been reached 
20190218 19:57:56.126542 4 2 262 101 Max number of tickers has been reached 
20190218 19:57:56.127316 4 2 197 101 Max number of tickers has been reached 
20190218 19:57:56.128118 4 2 155 101 Max number of tickers has been reached 
20190218 19:57:56.129390 4 2 144 101 Max number of tickers has been reached 
20190218 19:57:56.130172 4 2 221 101 Max number of tickers has been reached 
20190218 19:57:56.131047 4 2 154 101 Max number of tickers has been reached 
20190218 19:57:56.131835 4 2 209 101 Max number of tickers has been reached 
20190218 19:57:56.132643 4 2 122 101 Max number of tickers has been reached 
20190218 19:57:56.133407 4 2 278 101 Max number of tickers has been reached 
20190218 19:57:56.134269 4 2 114 101 Max number of tickers has been reached 
20190218 19:57:56.135045 4 2 205 101 Max number of tickers has been reached 
20190218 19:57:56.135843 4 2 171 101 Max number of tickers has been reached 
20190218 19:57:56.136769 4 2 182 101 Max number of tickers has been reached 
20190218 19:57:56.137530 4 2 268 101 Max number of tickers has been reached 
20190218 19:57:56.138421 2 6 1 27 0 
20190218 19:57:56.139271 2 6 1 28 0 
20190218 19:57:56.141422 1 6 1 37 43.77059937 0 0 
